FieldGlass ID: 6-02,0.00
6-03,8.00
6-04,8.00
6-05,8.00
6-06,8.00
6-07,8.00
6-08,0.00
6-09,0.00
6-10,0.00
6-11,8.00
6-12,8.00
6-13,8.00
6-14,8.00
6-15,0.00
6-16,0.00
6-17,8.00
6-18,8.00
6-19,8.00
6-20,8.00
6-21,8.00
6-22,0.00
6-23,0.00
6-24,0.00
6-25,8.00
6-26,8.00
6-27,8.00
6-28,8.00
6-29,0.00
6-30,0.00
7-01,8.00
7-02,8.00
7-03,8.00
7-04,8.00
7-05,8.00
7-06,0.00
7-07,0.00
7-08,8.00
7-09,8.00
7-10,8.00
7-11,8.00
7-12,8.00
7-13,0.00
7-14,0.00
7-15,8.00
7-16,8.00
7-17,8.00
7-18,8.00
7-19,8.00
7-20,0.00
7-21,0.00
7-22,8.00
7-23,8.00
7-24,8.00
7-25,8.00
7-26,8.00
7-27,0.00
7-28,0.00
7-29,8.00
7-30,8.00
7-31,8.00
8-01,0.00
8-02,0.00
8-03,0.00
